Scheme Name	Asset Value
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.3589
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3462
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.116
HSBC Banking and PSU Debt Fund - Regular Growth	24.5951
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.6143
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3191
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.5814
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	12.9333
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	33.1486
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	10.9500
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1051.083
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2458.4877
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1064.212
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1015.0294
Invesco India Banking and PSU Fund - Growth Option	2294.2872
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1065.6182
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.5629
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.5644
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.2000
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.2011
Kotak Banking and PSU Debt - Growth	66.1489
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.4278
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	68.978
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2658
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.3139
LIC MF Banking & PSU Fund-Direct Plan-Growth	38.0724
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.3385
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0547
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.3129
LIC MF Banking & PSU Fund-Regular Plan-Growth	35.2606
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.1967
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3874
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.4117
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.4066
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.1049
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.1059
NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option	21.8209
NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option	10.3522
Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option	21.8209
NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option	10.7581
NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option	10.8480
